"lang";"inter";"n";"res";"name"
"English";"all";20;9;"Slava"
"English";"all";20;13;"Slava"
"English";"(0, 90)";20;16;"Slava"
"English";"all";20;10;"I haven't got a name! I haven't got a face!"
Russian,all,3,0,
Russian,all,20,9,Σ μεν νες θμενθ
Russian,all,20,3,
Russian,all,3,0,test
Russian,all,3,0,Test
Russian,all,3,1,ςερς
Russian,all,3,3,ςερς
Russian,all,3,1,Slava
Russian,all,10,5,Slava
Russian,all,10,3,Π΅Π»Π°Π²Π°
Russian,all,20,5,Slava
Russian,all,20,7,Π΅Π»Π°Π²Π°
English,all,20,5,Slava
English,all,20,6,Slava
Russian,all,20,4,Π΅Π»Π°Π²Π°
English,all,20,9,Slava
Russian,all,3,0,
Russian,all,20,2,
Russian,all,20,2,
Russian,all,20,2,
Russian,all,20,2,
Russian,all,20,2,
Russian,all,20,2,
Russian,all,20,2,
Russian,all,20,2,
Russian,all,20,2,
Russian,all,20,2,
Russian,all,20,2,
Russian,all,20,2,
Russian,all,20,2,
Russian,all,20,2,
Russian,all,20,2,
Russian,all,20,2,
Russian,all,20,2,
Russian,all,20,2,
Russian,all,20,2,
Russian,all,20,0,
Russian,all,20,6,ΠΏΠ°ΠΏΠ°
Russian,all,20,8,ΡΠ»Π°Π²Π°
Russian,all,20,6,ΡΠ»Π°Π²Π°
Russian,all,20,10,ΡΠ»Π°Π²Π°
